"Code","Name","Latitude","Longitude","tCORALavg","tCORALstd","tFMAavg","tFMAstd","YEAR","Reef Type","Depth"
"1032","Round Caye",16.4185,-88.0413,10.33,7.89,37.25,10.04,"2018",NA,6
"1037","Carrie Caye",16.51746,-88.19352,3.83,4.83,23.17,4.4,"2018",NA,8.8
"1038","Big White-Gladden Channel",16.5079,-87.9707,19.33,19.87,40.83,15.9,"2018",NA,7.4
"1044","South of Carrie Bow Caye",16.64572,-88.0662,8.5,5.32,15.33,2.66,"2018",NA,5.9
"1045","Glover's Southwest",16.72,-87.8387,28.5,10.33,23.5,11.67,"2018",NA,8.8
"1052","Glover's NW",16.8856,-87.8102,25.17,7.28,16.17,14.36,"2018",NA,4.9
"1057","West of Hat Caye",17.1692,-87.6317,13.17,5.49,7.33,8,"2018",NA,7.6
"1062SFR","1062SFR",17.2587,-87.9593,6.833333,4.597705,0,0,"2023","Atoll",NA
"1064","Paranga Grounding Site",17.31848,-88.0425,6.17,4.07,16.25,6.29,"2018",NA,4.6
"1068","Sandbore SPAG site",17.4303,-87.45177,23,15.5,16.08,13.48,"2018",NA,6.7
"1076B","Mackerel Hole",17.7704,-87.9914,4.083333,1.592081,18.5,6.745369,"2023","Barrier",NA
"1076B","Mackerel Hole",17.77042,-87.99141,11.17,12.25,26.83,17.3,"2018",NA,7.5
"1077","Coral Gardens",17.81931,-87.98686,7,6.69,23.83,8.01,"2018",NA,9.5
"1079","Tres Cocos",17.93406,-87.93876,16,13.78,26.17,17.1,"2018",NA,8.3
"1080","Basil Jones",18.1125,-87.84692,20.67,13.47,27.58,17.98,"2018",NA,8.9
"1081","North of Alleys",18.17546,-87.828,8.83,7.73,39.58,6.09,"2018",NA,6
"1106","Southwest Glovers patch",16.74339,-87.85077,27.83,12.35,13.83,13.35,"2018",NA,1
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,23.67,19.27,22.67,5.65,"2018",NA,1.1
"1128","East of Water Caye",17.38828,-88.0456,9.5,9.48,14,9.63,"2018",NA,2.6
"1177","Bugle's Caye",16.4903,-88.3236,18.67,15.77,19.5,13.94,"2018",NA,1.6
"1178","West of Laughing Bird Caye",16.45676,-88.2093,5.5,4.37,29.67,13.65,"2018",NA,7.2
"1192","Near Wee Wee Caye",16.75744,-88.14417,11.33,9.14,0.5,0.55,"2018",NA,1.7
"1194","South of Curlew (sunken caye)",16.76494,-88.0761,18.67,9.03,4.5,1.79,"2018",NA,6.1
"1206","1206DFR",17.248,-87.8334,13.833333,5.241395,16.916667,6.698362,"2023","Atoll",NA
"1206","1206SFR",17.2486,-87.8337,19.166667,7.470312,13.166667,4.258977,"2023","Atoll",NA
"1206","Bully Bay",17.25097,-87.8386,15.5,6.47,13.83,3.97,"2018",NA,1.2
"1208","South Point Wreck Site",17.15318,-87.59994,19.83,13.24,3.17,2.32,"2018",NA,1.4
"1217","Transfer Wrecksite",17.3956,-87.46557,30.5,20.28,6.08,3.2,"2018",NA,1.4
"1221","West of SAndbore Caye",17.46172,-87.49525,21.67,19.43,22.25,10.41,"2018",NA,1.3
"1223","Southwest of Maugre Caye",17.56664,-87.7489,14.5,9.77,9.5,5.58,"2018",NA,3.1
"1230","North of Caye Caulker Marine Reserve",17.79961,-87.99541,24.33,18.18,13.67,8.45,"2018",NA,1.8
"1231","North of Hol Chan MR",17.8817,-87.96947,10.83,12.19,22.5,13.75,"2018",NA,1.5
"1234","North of Mexico Rocks",18.186,-87.83305,14,15.45,13.5,9.61,"2018",NA,1.5
"2056","Sianora Dive Site",17.19558,-87.9318,9.83,6.43,6,3.74,"2018",NA,12.7
"2065","East of Turneffe Flats",17.41428,-87.8094,14,6.63,18.17,4.26,"2018",NA,3.9
