"Code","Name","Latitude","Longitude","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","YEAR","tCommBiomass","Reef Type","Depth"
"1032","Round Caye",16.4185,-88.0413,0,0,0,0,0,0,0,0,0,0,"2018",0,NA,6.1
"1037","Carrie Caye",16.51746,-88.19352,387,452,11,36,92,151,0,0,551,708,"2018",1041,NA,6.2
"1038","Big White-Gladden Channel",16.5079,-87.9707,646,1633,1,4,380,1138,0,0,94,188,"2018",1121,NA,7.1
"1044","South of Carrie Bow Caye",16.64572,-88.0662,2646,2518,0,0,43,99,649,1751,1718,1680,"2018",5056,NA,4.6
"1045","Glover's Southwest",16.72,-87.8387,317,648,0,0,634,2005,0,0,65,96,"2018",1016,NA,10.3
"1052","Glover's NW",16.8856,-87.8102,187,375,197,355,0,0,410,1297,31,52,"2018",825,NA,4.9
"1057","West of Hat Caye",17.1692,-87.6317,998,1263,62,167,681,1673,371,1172,378,347,"2018",2490,NA,7.2
"1062_BR","1062_BR",17.25613,-87.95623,364,397,127,185,17,45,0,0,589,1007,"2018",1097,NA,7.6
"1062_DFR","1062_DFR",17.25871,-87.95925,78,162,232,453,0,0,0,0,263,315,"2018",573,NA,10.7
"1062_SFR","1062_SFR",17.2603,-87.96102,0,0,23,42,16,45,0,0,394,423,"2018",433,NA,7.6
"1062SFR","1062SFR",17.2587,-87.9593,0,0,10.498217691154,27.775673220212,60.948570982427,43.0971478453038,0,0,25.512934094319,40.70292104156,"2023",96.9597227679,"Atoll",NA
"1064","Paranga Grounding Site",17.31848,-88.0425,26,59,0,0,110,243,0,0,220,234,"2018",356,NA,4.2
"1068","Sandbore SPAG site",17.4303,-87.45177,366,702,51,122,67,115,0,0,130,210,"2018",614,NA,6.1
"1071_DFR","1071_DFR",17.47784,-87.78187,398,578,24,44,0,0,0,0,163,147,"2018",585,NA,10.7
