"Code","Name","Latitude","Longitude","YEAR","Depth","Reef.Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"1032","Round Caye",16.4185,-88.0413,"2018",6,NA,10.33,7.89,37.25,10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","Round Caye",16.4185,-88.0413,"2018",6.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,196,258,1874,1567,2070
"1037","Carrie Caye",16.51746,-88.19352,"2018",6.2,NA,NA,NA,NA,NA,387,452,11,36,92,151,0,0,551,708,1041,175,433,1215,1640,1390
"1037","Carrie Caye",16.51746,-88.19352,"2018",8.8,NA,3.83,4.83,23.17,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","Big White-Gladden Channel",16.5079,-87.9707,"2018",7.1,NA,NA,NA,NA,NA,646,1633,1,4,380,1138,0,0,94,188,1121,85,130,499,777,584
"1038","Big White-Gladden Channel",16.5079,-87.9707,"2018",7.4,NA,19.33,19.87,40.83,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044","South of Carrie Bow Caye",16.64572,-88.0662,"2018",4.6,NA,NA,NA,NA,NA,2646,2518,0,0,43,99,649,1751,1718,1680,5056,1004,1155,1584,1214,2588
"1044","South of Carrie Bow Caye",16.64572,-88.0662,"2018",5.9,NA,8.5,5.32,15.33,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","Glover's Southwest",16.72,-87.8387,"2018",8.8,NA,28.5,10.33,23.5,11.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","Glover's Southwest",16.72,-87.8387,"2018",10.3,NA,NA,NA,NA,NA,317,648,0,0,634,2005,0,0,65,96,1016,120,121,849,1134,969
"1052","Glover's NW",16.8856,-87.8102,"2018",4.9,NA,25.17,7.28,16.17,14.36,187,375,197,355,0,0,410,1297,31,52,825,70,93,1100,699,1170
"1057","West of Hat Caye",17.1692,-87.6317,"2018",7.2,NA,NA,NA,NA,NA,998,1263,62,167,681,1673,371,1172,378,347,2490,367,470,1216,1384,1583
"1057","West of Hat Caye",17.1692,-87.6317,"2018",7.6,NA,13.17,5.49,7.33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062_BR","1062_BR",17.25613,-87.95623,"2018",7.6,NA,NA,NA,NA,NA,364,397,127,185,17,45,0,0,589,1007,1097,514,361,1788,914,2302
"1062_DFR","1062_DFR",17.25871,-87.95925,"2018",10.7,NA,NA,NA,NA,NA,78,162,232,453,0,0,0,0,263,315,573,500,462,1187,975,1687
"1062_SFR","1062_SFR",17.2603,-87.96102,"2018",7.6,NA,NA,NA,NA,NA,0,0,23,42,16,45,0,0,394,423,433,710,374,1695,1882,2405
"1062SFR","1062SFR",17.2587,-87.9593,"2023",NA,"Atoll",6.833333,4.597705,0,0,0,0,10.498217691154,27.775673220212,60.948570982427,43.0971478453038,0,0,25.512934094319,40.70292104156,96.9597227679,110.09669131869,80.306859304412,460.45197971602,506.71063145405,570.54867103471
"1064","Paranga Grounding Site",17.31848,-88.0425,"2018",4.2,NA,NA,NA,NA,NA,26,59,0,0,110,243,0,0,220,234,356,471,341,4571,4022,5042
"1064","Paranga Grounding Site",17.31848,-88.0425,"2018",4.6,NA,6.17,4.07,16.25,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","Sandbore SPAG site",17.4303,-87.45177,"2018",6.1,NA,NA,NA,NA,NA,366,702,51,122,67,115,0,0,130,210,614,478,317,1667,1692,2145
"1068","Sandbore SPAG site",17.4303,-87.45177,"2018",6.7,NA,23,15.5,16.08,13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071_DFR","1071_DFR",17.47784,-87.78187,"2018",10.7,NA,NA,NA,NA,NA,398,578,24,44,0,0,0,0,163,147,585,800,1042,2284,2194,3084
"1071_SFR","1071_SFR",17.47736,-87.78485,"2018",7.6,NA,NA,NA,NA,NA,394,649,122,305,114,320,0,0,264,278,894,658,667,837,833,1495
"1076B","Mackerel Hole",17.7704,-87.9914,"2023",NA,"Barrier",4.083333,1.592081,18.5,6.745369,418.67699414603,716.78620928144,88.464374334896,154.62691961541,384.00361763293,271.531562028411,0,0,908.56512717459,896.95718698164,1799.71011328845,623.7736259496,459.95369419789,3501.1493016989,4300.5513755193,4124.9229276485
"1076B","Mackerel Hole",17.77042,-87.99141,"2018",7,NA,NA,NA,NA,NA,563,421,124,329,25,54,41,129,28,33,781,865,535,1789,791,2654
"1076B","Mackerel Hole",17.77042,-87.99141,"2018",7.5,NA,11.17,12.25,26.83,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Coral Gardens",17.81931,-87.98686,"2018",9.5,NA,7,6.69,23.83,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Coral Gardens",17.81931,-87.98686,"2018",9.7,NA,NA,NA,NA,NA,508,284,271,477,54,96,41,129,214,235,1088,487,390,617,545,1104
"1079","Tres Cocos",17.93406,-87.93876,"2018",5.3,NA,NA,NA,NA,NA,325,292,0,0,133,208,90,179,34,65,582,270,131,96,289,366
"1079","Tres Cocos",17.93406,-87.93876,"2018",8.3,NA,16,13.78,26.17,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Basil Jones",18.1125,-87.84692,"2018",8.9,NA,20.67,13.47,27.58,17.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Basil Jones",18.1125,-87.84692,"2018",9.6,NA,NA,NA,NA,NA,443,394,163,323,111,185,117,370,172,141,1006,447,542,376,326,823
"1081","North of Alleys",18.17546,-87.828,"2018",5.8,NA,NA,NA,NA,NA,399,701,20,35,55,99,41,129,12,21,527,248,160,185,202,433
"1081","North of Alleys",18.17546,-87.828,"2018",6,NA,8.83,7.73,39.58,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Southwest Glovers patch",16.74339,-87.85077,"2018",1,NA,27.83,12.35,13.83,13.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Southwest Glovers patch",16.74339,-87.85077,"2018",1.2,NA,NA,NA,NA,NA,58,152,0,0,0,0,117,370,94,187,269,115,130,403,746,518
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,"2018",1.1,NA,23.67,19.27,22.67,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,"2018",1.9,NA,NA,NA,NA,NA,333,483,23,72,0,0,0,0,505,773,861,910,814,2357,2257,3267
"1128","East of Water Caye",17.38828,-88.0456,"2018",2.1,NA,NA,NA,NA,NA,727,761,0,0,56,177,15,46,495,434,1293,165,223,1639,2768,1804
"1128","East of Water Caye",17.38828,-88.0456,"2018",2.6,NA,9.5,9.48,14,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","Bugle's Caye",16.4903,-88.3236,"2018",1.6,NA,18.67,15.77,19.5,13.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","Bugle's Caye",16.4903,-88.3236,"2018",2.5,NA,NA,NA,NA,NA,1363,2145,0,0,245,462,0,0,1172,1274,2780,40,79,1969,1287,2009
"1178","West of Laughing Bird Caye",16.45676,-88.2093,"2018",7.2,NA,5.5,4.37,29.67,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","West of Laughing Bird Caye",16.45676,-88.2093,"2018",7.3,NA,NA,NA,NA,NA,516,605,9,28,62,177,1752,5489,410,898,2749,237,433,1689,1965,1926
"1192","Near Wee Wee Caye",16.75744,-88.14417,"2018",1.4,NA,NA,NA,NA,NA,613,647,0,0,108,136,0,0,562,482,1283,285,433,2963,1866,3248
"1192","Near Wee Wee Caye",16.75744,-88.14417,"2018",1.7,NA,11.33,9.14,0.5,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","South of Curlew (sunken caye)",16.76494,-88.0761,"2018",6.1,NA,18.67,9.03,4.5,1.79,95,156,30,52,24,33,0,0,250,239,399,192,248,947,1046,1139
"1206","1206DFR",17.248,-87.8334,"2023",NA,"Atoll",13.833333,5.241395,16.916667,6.698362,314.18758157174,692.18822982386,10.498217691154,27.775673220212,24.490974038912,17.3177338207784,0,0,336.9940782618,595.31319761963,686.170851563606,364.24683156814,640.25001664591,770.33440709208,732.42506617931,1134.58123866022
"1206","1206SFR",17.2486,-87.8337,"2023",NA,"Atoll",19.166667,7.470312,13.166667,4.258977,50.352973400407,117.14016964932,11.775566634442,25.921945426696,53.6709623596082,37.8891468381375,0,0,95.179877804539,124.60039560926,210.979380198996,272.60781964782,289.22371552474,923.12247740644,959.69228015776,1195.73029705426
"1206","Bully Bay",17.25097,-87.8386,"2018",1,NA,NA,NA,NA,NA,195,224,0,0,56,178,0,0,155,175,406,198,244,1631,895,1829
"1206","Bully Bay",17.25097,-87.8386,"2018",1.2,NA,15.5,6.47,13.83,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1206_DFR","1206_DFR",17.24799,-87.83337,"2018",10.7,NA,NA,NA,NA,NA,633,649,54,154,0,0,0,0,406,339,1093,549,680,3512,1877,4061
"1206_SFR","1206_SFR",17.2486,-87.83705,"2018",7.6,NA,NA,NA,NA,NA,534,688,0,0,102,290,0,0,108,148,744,82,121,520,551,602
"1208","South Point Wreck Site",17.15318,-87.59994,"2018",1.4,NA,19.83,13.24,3.17,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1208","South Point Wreck Site",17.15318,-87.59994,"2018",1.5,NA,NA,NA,NA,NA,798,428,28,26,34,89,205,649,523,269,1588,246,337,901,1144,1147
