"Name","Latitude","Longitude","Reef.Type","tCommBiomass_avg","tHerbiBiomass_avg","tCORALavg_avg","tFMAavg_avg"
"1062-BR",17.25613,-87.95623,NA,1787,1122,10.83,0.33
"1062-DFR",17.2603,-87.96102,NA,991,1115,10.83,3.5
"1062-SFR",17.25871,-87.95925,NA,420,1406,9.33,0.5
"1062DFR",17.2603,-87.961,"Atoll",401.642834937953,972.76065004477,12.5,3.833333
"1062SFR",17.2587,-87.9593,"Atoll",96.9597227679,570.54867103471,6.833333,0
"1062_BR",17.25613,-87.95623,NA,1097,2302,NA,NA
"1062_DFR",17.25871,-87.95925,NA,573,1687,NA,NA
"1062_SFR",17.2603,-87.96102,NA,433,2405,NA,NA
"1071_DFR",17.47784,-87.78187,NA,585,3084,NA,NA
"1071_SFR",17.47736,-87.78485,NA,894,1495,NA,NA
"1206-BR",17.24913,-87.83865,NA,730,686,11.5,9.5
"1206-DFR",17.24799,-87.83336,NA,363,614,13.5,27.58
"1206-SFR",17.2486,-87.83705,NA,3319,1373,16.83,11.58
"1206DFR",17.248,-87.8334,"Atoll",686.170851563606,1134.58123866022,13.833333,16.916667
"1206SFR",17.2486,-87.8337,"Atoll",210.979380198996,1195.73029705426,19.166667,13.166667
"1206_DFR",17.24799,-87.83337,NA,1093,4061,NA,NA
"1206_SFR",17.2486,-87.83705,NA,744,602,NA,NA
"BANK 2",16.17936,-88.55684,NA,1020,950,10.17,4.17
"BCMR31",18.11352,-87.83405,NA,225,972,NA,NA
"BCMR39",18.09995,-87.85304,NA,607,1323,NA,NA
"BZ1081",18.1755,-87.828,"Barrier",314.542548560235,924.06372078739,4.666667,38.5
"BZ1229",17.6876,-88.0161,"Barrier",1610.40268168088,9478.6582510001,9.666667,7.833333
"BZ1234",18.1807,-87.8284,"Barrier",615.991253820133,4121.29018701128,2.666667,40.75
"BZHCCD01",17.8684,-87.9722,"Barrier",953.374569321303,3064.42138296194,13.5,29.5
"BZHCCD02",17.8426,-87.9794,"Barrier",2078.16013397784,2668.40617051592,10.714286,31.571429
"BZPHMR02",16.1595,-88.4102,"Barrier",427.946071601372,4607.7588652827,20.833333,8.166667
"Baker Caye",16.5509,-88.1996,"Bank",1110.0822007554,88.606596382602,19,27
"Baker Caye",16.5509,-88.1996,NA,74,255,10.5,18.67
"Bank 2",16.17936,-88.55684,NA,4920,9117,NA,NA
"Bank 3",16.15346,-88.59153,NA,2186,999,NA,NA
"Bank 3",16.15347,-88.59154,NA,79,466,3.17,25
"Barracuda Patch",18.16878,-87.834,NA,1327.5,2329.5,13.25,22.835
"Basil Jones",18.08799,-87.86372,NA,710,3058,14.5,18
"Basil Jones",18.088,-87.8637,"Barrier",1650.1560359063,2341.32071720346,7.833333,32.583333
"Basil Jones",18.1125,-87.84692,NA,1006,823,20.67,27.58
"Big White-Gladden Channel",16.5079,-87.9707,NA,1121,584,19.33,40.83
"Bugle's Caye",16.4903,-88.3236,"Lagoonal",2554.83552773335,2290.43161023248,12.583333,7.666667
"Bugle's Caye",16.4903,-88.3236,NA,2006,1163,22.17,14.665
"Bully Bay",17.25097,-87.8386,NA,406,1829,15.5,13.83
"CB-BR",17.15853,-87.91022,NA,11556,2378,27,8.17
"CB-SFR",17.15698,-87.90921,NA,991,1945,18.67,5.92
"CBDFR",17.157,-87.9079,"Atoll",4285.29426582595,972.75283500674,20.666667,23.583333
"CBSFR",17.157,-87.9092,"Atoll",2136.98837062444,821.20545219145,20.5,4.166667
"CB_BR",17.15853,-87.91023,NA,2778,2876,NA,NA
"CB_DFR",17.14891,-87.90773,NA,960,3841,NA,NA
"CB_SFR",17.15698,-87.90921,NA,1014,1638,NA,NA
"CZ2-DFR",17.51001,-87.74921,NA,801,1398,8.83,23.58
"CZ2_DFR",17.51001,-87.74921,NA,221,1748,NA,NA
